ISO,Country,latitude,longitude,depth,mag,year,month,day,Total affected,Total deaths,Total damage ('000 US$),2017
CHN,China,45.382,118.256,18.8,5.5,2004.0,3.0,24.0,190100,0,74000,0.752
CHN,China,27.266,103.87299999999999,6.3,5.4,2004.0,8.0,10.0,120600,4,50000,0.752
CHN,China,25.073,99.169,30.2,4.8,2004.0,10.0,18.0,100012,0,0,0.752
CHN,China,34.681999999999995,103.781,10.0,5.2,2004.0,9.0,7.0,22019,0,0,0.752
CHN,China,29.671,115.68799999999999,11.1,5.2,2005.0,11.0,26.0,615500,16,0,0.752
CHN,China,26.569000000000003,103.036,42.4,5.2,2005.0,8.0,5.0,18509,0,0,0.752
CHN,China,27.995,104.13799999999999,55.6,4.9,2006.0,7.0,22.0,265106,22,0,0.752
CHN,China,33.068000000000005,104.95,24.2,4.9,2006.0,6.0,20.0,130,0,0,0.752
CHN,China,28.011999999999997,104.15100000000001,21.8,5.0,2006.0,8.0,25.0,45551,1,0,0.752
CHN,China,23.028000000000002,101.052,5.0,6.1,2007.0,6.0,2.0,329,3,342000,0.752
CHN,China,31.002,103.322,19.0,7.9,2008.0,5.0,12.0,45976596,87476,85000000,0.752
CHN,China,32.756,105.494,6.0,6.0,2008.0,8.0,5.0,13529,4,0,0.752
CHN,China,26.241,101.889,11.0,6.0,2008.0,8.0,30.0,1000589,40,492000,0.752
CHN,China,29.807,90.35,12.0,6.3,2008.0,10.0,6.0,754,30,0,0.752
CHN,China,23.97,97.569,35.0,4.8,2008.0,12.0,25.0,27169,0,0,0.752
CHN,China,32.56,105.42299999999999,18.0,6.1,2008.0,5.0,25.0,351000,8,0,0.752
CHN,China,30.268,105.66799999999999,10.0,5.1,2010.0,1.0,30.0,10515,1,4400,0.752
CHN,China,25.523000000000003,101.90299999999999,10.0,5.2,2010.0,2.0,25.0,50011,0,0,0.752
CHN,China,27.197,103.005,35.0,4.9,2010.0,8.0,29.0,5014,0,0,0.752
CHN,China,20.686999999999998,99.822,8.0,6.9,2011.0,3.0,24.0,9508,0,0,0.752
CHN,China,27.73,88.155,50.0,6.9,2011.0,9.0,18.0,5136,7,0,0.752
CHN,China,39.955,77.028,10.0,5.6,2011.0,8.0,11.0,1616,0,0,0.752
CHN,China,43.433,84.7,18.0,6.3,2012.0,6.0,29.0,155052,0,68000,0.752
COL,Colombia,4.695,-77.508,15.0,7.2,2004.0,11.0,15.0,8036,0,0,0.747
COL,Colombia,2.966,-77.96300000000001,15.0,6.8,2007.0,9.0,10.0,175,0,0,0.747
COL,Colombia,4.33,-73.764,8.9,5.9,2008.0,5.0,24.0,1754,11,10000,0.747
COL,Colombia,1.135,-77.393,145.0,6.9,2013.0,2.0,9.0,10015,0,4000,0.747
COD,Congo,-6.224,29.83,22.0,6.8,2005.0,12.0,5.0,1505,6,0,0.606
COD,Congo,-2.296,28.9,10.0,5.9,2008.0,2.0,3.0,17355,11,7000,0.606
CRI,Costa Rica,8.416,-82.824,33.0,6.5,2003.0,12.0,25.0,135,2,0,0.794
CRI,Costa Rica,9.602,-84.17200000000001,16.0,6.4,2004.0,11.0,20.0,280,8,0,0.794
CRI,Costa Rica,10.165,-84.197,14.0,6.1,2009.0,1.0,8.0,128618,31,200000,0.794
DMA,Dominica,15.679,-61.706,14.0,6.3,2004.0,11.0,21.0,100,0,0,0.715
DOM,Dominican Republic,19.777,-70.673,10.0,6.4,2003.0,9.0,22.0,2015,3,0,0.736
SLV,El Salvador,13.049000000000001,-88.66,60.0,7.7,2001.0,1.0,13.0,1334529,844,1500000,0.674
SLV,El Salvador,13.671,-88.93799999999999,10.0,6.6,2001.0,2.0,13.0,256021,315,348500,0.674
GEO,Georgia,41.765,44.96,10.0,4.8,2002.0,4.0,25.0,19156,6,350000,0.78
GEO,Georgia,42.66,43.443000000000005,15.0,6.0,2009.0,9.0,7.0,7306,0,0,0.78
DEU,Germany,48.115,8.077,10.0,4.8,2004.0,12.0,5.0,150,0,12000,0.9359999999999999
GRC,Greece,39.059,24.244,10.0,6.5,2001.0,7.0,26.0,300,0,0,0.87
GRC,Greece,37.747,21.087,10.0,5.7,2002.0,12.0,2.0,167,0,0,0.87
GRC,Greece,39.16,20.605,10.0,6.3,2003.0,8.0,14.0,50,0,0,0.87
GRC,Greece,37.963,21.525,16.0,6.4,2008.0,6.0,8.0,3708,2,0,0.87
GTM,Guatemala,13.049000000000001,-88.66,60.0,7.7,2001.0,1.0,13.0,152,6,50,0.65
GTM,Guatemala,14.186,-90.238,9.0,5.6,2011.0,9.0,19.0,400,3,0,0.65
GTM,Guatemala,13.988,-91.895,24.0,7.4,2012.0,11.0,7.0,1321742,44,210000,0.65
HTI,Haiti,18.442999999999998,-72.571,13.0,7.0,2010.0,1.0,12.0,3700000,222570,8000000,0.498
ISL,Iceland,63.98,-20.758000000000003,10.0,6.5,2000.0,6.0,21.0,108,0,12000,0.935
IND,India,23.419,70.232,16.0,7.7,2001.0,1.0,26.0,6321812,20005,2623000,0.64
IND,India,13.036,93.068,21.0,6.5,2002.0,9.0,13.0,200,2,0,0.64
IND,India,3.295,95.98200000000001,30.0,9.1,2004.0,12.0,26.0,654512,16389,1022800,0.64
IND,India,34.539,73.58800000000001,26.0,7.6,2005.0,10.0,8.0,156622,1309,1000000,0.64
IND,India,27.73,88.155,50.0,6.9,2011.0,9.0,18.0,575200,112,0,0.64
IDN,Indonesia,-4.646,102.102,33.0,6.7,2000.0,6.0,4.0,204714,103,41000,0.6940000000000001
IDN,Indonesia,-6.5489999999999995,105.63,38.0,6.8,2000.0,10.0,25.0,5500,0,0,0.6940000000000001
IDN,Indonesia,-4.612,101.905,33.0,6.7,2000.0,6.0,7.0,3000,1,0,0.6940000000000001
IDN,Indonesia,-6.99,108.275,36.9,5.0,2001.0,6.0,28.0,12512,0,0,0.6940000000000001
IDN,Indonesia,-4.68,102.56200000000001,36.0,7.4,2001.0,2.0,13.0,0,0,0,0.6940000000000001
IDN,Indonesia,-1.196,121.333,10.0,6.2,2002.0,8.0,15.0,2548,0,0,0.6940000000000001
IDN,Indonesia,-1.757,134.297,10.0,7.6,2002.0,10.0,10.0,9082,8,0,0.6940000000000001
IDN,Indonesia,-1.68,134.234,10.0,6.4,2002.0,9.0,20.0,155,0,0,0.6940000000000001
IDN,Indonesia,2.824,96.085,30.0,7.4,2002.0,11.0,2.0,60,3,0,0.6940000000000001
IDN,Indonesia,-8.807,118.524,33.0,5.5,2003.0,1.0,23.0,2502,0,0,0.6940000000000001
IDN,Indonesia,-8.31,115.788,44.5,5.8,2004.0,1.0,1.0,30040,1,12000,0.6940000000000001
IDN,Indonesia,-3.615,135.53799999999998,16.6,7.0,2004.0,2.0,5.0,14072,37,1000,0.6940000000000001
